Población > Nombres más frecuentes
    Nombres más frecuentes de las niñas recién nacidas y su distribución municipal. (Frecuencia >4).

Unidad de medida: Número de nombres de las recién nacidas
Periodo de referencia:2007
Última actualitzación: 20100305 15:24


,ILLES BALEARS,MALLORCA,07041 Petra,
ABRIL,"13","11","0",
ADA,"5","2","0",
ADRIANA,"20","15","0",
AFRICA,"13","10","0",
AIDA,"5","2","0",
AINA,"96","80","0",
AINA  MARIA,"8","8","0",
AINARA,"15","10","0",
AINHOA,"39","31","1",
AISHA,"6","2","0",
AITANA,"27","17","0",
ALBA,"55","44","0",
ALBA  MARIA,"5","5","0",
ALEJANDRA,"22","16","0",
ALEXANDRA,"11","8","0",
ALICIA,"21","16","0",
AMALIA,"5","4","0",
AMANDA,"8","5","0",
ANA,"31","21","0",
ANA  MARIA,"18","12","0",
ANDREA,"45","29","0",
ANGELA,"23","18","1",
ANGELINA,"5","1","0",
ANNA,"8","5","0",
ANTONIA,"16","15","0",
ANTONIA  MARIA,"6","6","0",
ARIADNA,"50","43","0",
AROA,"15","11","0",
AURORA,"10","8","0",
AYA,"14","11","0",
BARBARA,"16","16","1",
BEATRIZ,"6","5","0",
BLANCA,"24","18","0",
CAMILA,"5","5","0",
CANDELA,"9","7","0",
CARLA,"87","69","2",
CARLOTA,"23","19","0",
CARME,"9","5","0",
CARMEN,"30","25","0",
CAROLINA,"21","19","0",
CATALINA,"19","17","0",
CATERINA,"20","19","0",
CAYETANA,"5","3","0",
CELIA,"9","7","0",
CHLOE,"6","6","0",
CLARA,"31","22","0",
CLAUDIA,"68","59","0",
CRISTINA,"38","36","0",
DANIELA,"31","20","0",
DESIREE,"7","7","0",
DIANA,"5","5","0",
DUNIA,"5","4","0",
ELENA,"35","31","0",
ELIA,"6","4","0",
ELISABET,"7","6","0",
ELISABETH,"8","7","0",
ELSA,"10","8","0",
EMILY,"6","4","0",
EMMA,"26","23","0",
ERIKA,"23","18","0",
ESPERANZA,"5","2","0",
ESTELA,"7","5","0",
ESTHER,"19","16","0",
EVA,"18","14","0",
FATIMA,"16","14","0",
FIONA,"5","4","0",
FRANCINA,"11","11","0",
FRANCISCA,"13","13","0",
GABRIELA,"5","3","0",
GEMMA,"13","7","0",
GIBET,"5","0","0",
HELENA,"8","5","0",
INES,"47","34","0",
IRENE,"64","49","0",
IRIA,"5","2","0",
IRIS,"10","5","0",
ISABEL,"23","22","0",
ISABELLA,"5","3","0",
JOANA,"8","5","0",
JUDIT,"9","6","0",
JUDITH,"17","11","0",
JULIA,"64","44","0",
KARLA,"6","5","0",
KHADIJA,"8","7","0",
KIARA,"6","3","0",
LAIA,"43","24","0",
LARA,"16","11","0",
LAURA,"109","91","0",
LEIRE,"10","8","0",
LIDIA,"12","10","0",
LINA,"8","5","0",
LLUCIA,"13","13","0",
LOLA,"10","6","0",
LORENA,"18","12","0",
LUCIA,"144","130","0",
LUNA,"14","11","0",
MAGDALENA,"6","6","0",
MANUELA,"7","5","0",
MAR,"39","24","0",
MARGALIDA,"35","35","1",
MARGARITA,"10","9","0",
MARIA,"145","123","1",
MARIA  ANGELES,"6","6","0",
MARIA  ANTONIA,"10","10","0",
MARIA  CARMEN,"9","7","0",
MARIA  DOLORES,"6","6","0",
MARIA  ISABEL,"5","5","0",
MARIA  JOSE,"6","4","0",
MARIA  MAGDALENA,"14","14","0",
MARIA  MAR,"28","27","0",
MARIA  NEUS,"5","4","0",
MARIA  VICTORIA,"5","5","0",
MARIAM,"6","5","0",
MARINA,"91","81","1",
MARIONA,"15","13","0",
MARTA,"123","107","0",
MARTINA,"36","28","0",
MARWA,"7","5","0",
MAYA,"10","7","0",
MIREIA,"25","21","0",
MIREYA,"7","6","0",
MIRIAM,"20","15","0",
NADIA,"8","5","0",
NAIARA,"20","15","0",
NATALIA,"49","38","0",
NAYARA,"21","18","0",
NAYRA,"6","6","0",
NEREA,"53","42","0",
NEUS,"54","51","0",
NICOLE,"11","9","0",
NINA,"5","3","0",
NOA,"38","26","0",
NOELIA,"31","24","0",
NOEMI,"5","5","0",
NORA,"12","9","0",
NURIA,"84","71","1",
OLIVIA,"5","1","0",
PAOLA,"13","9","0",
PATRICIA,"15","11","0",
PAULA,"148","124","0",
PILAR,"9","8","0",
RAQUEL,"9","6","0",
ROCIO,"10","9","0",
ROSA,"11","9","1",
ROSA  MARIA,"5","5","0",
ROSER,"9","1","0",
SALMA,"21","13","0",
SAMARA,"12","12","0",
SAMIA,"5","4","0",
SANDRA,"18","16","0",
SARA,"77","56","1",
SARAH,"6","3","0",
SARAY,"12","8","0",
SHEILA,"9","5","0",
SILVIA,"26","25","0",
SOFIA,"54","43","0",
SONIA,"6","3","0",
SOPHIA,"7","6","0",
SORAYA,"6","6","0",
TANIA,"7","6","0",
TERESA,"14","12","0",
THAIS,"5","0","0",
VALENTINA,"18","14","0",
VALERIA,"9","8","0",
VANESA,"5","3","0",
VICTORIA,"27","23","1",
VIOLETA,"8","4","0",
YAIZA,"8","7","0",
YANIRA,"10","6","0",
YASMIN,"6","4","0",
YASMINA,"8","8","0",
YOUSRA,"8","6","0",
ZAIRA,"7","4","0",
ZOE,"7","4","0",

Notas:


Fuente: Institut d'Estadística de les Illes Balears (IBESTAT). España (CC BY 3.0)

Institut d'Estadística de les Illes Balears (IBESTAT) Teléfono: +34 971 784 575 Correo electrónico: info@ibestat.caib.es http://www.caib.es/ibestat/ibestat.htm
